NO,NAMA RUMAH,HARGA,LB,LT,KT,KM,GRS
850,"rumah tebet dalam, hoek, SHM",12000000000,470,270,5,4,1
851,Rumah Baru Minimalis Tebet ,2700000000,90,78,3,2,0
852,Cluster Baru Minimalis Modern Jaya Mandala Tebet Jakarta Selatan,14500000000,600,208,4,4,2
853,"Rumah di Kasablangka, Tebet, Menteng, Jakarta Selatan",3750000000,127,180,4,4,2
854,Rumah Mewah Murah Dalam Komplek Di Tebet,6000000000,325,225,7,5,2
855,Rumah Standard Hitung Tanah Di Tebet Dalam Jakarta Selatan,7500000000,150,253,5,2,0
856,Rumah Standard Di Tebet Dalam Jakarta Selatan,5200000000,300,260,7,3,1
857,Rumah Strategis Siap Huni Di Raya Tebet Jakarta Selatan,4900000000,250,266,3,2,1
858,Rumah Tua Strategis Di Tebet Raya Jakarta Selatan,17500000000,750,724,4,2,3
859,Rumah Mewah Hook Siap Huni Dan Terawat Di Gudang Peluru Tebet,10900000000,646,428,5,5,6
860,Rumah Cantik Dan Luas Di Tebet Jakarta Selatan,9000000000,300,388,4,3,1
861,Rumah Strategis Di Tebet Jakarta Selatan,6500000000,168,221,5,2,1
862,Rumah di Tebet Jakarta Selatan,25000000000,600,1000,10,10,10
863,"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",6000000000,300,150,5,4,2
864,Rumah Murah Tebet,3300000000,120,90,4,4,1
865,"Rumah 2 Lantai di Tebet, Jakarta Selatan",1100000000,100,50,2,1,0
866,Rumah di Tebet,5000000000,410,205,3,3,1
867,Tebet Rumah lama hitung tanah,2500000000,100,150,3,2,0
868,"Rumah Tebet Barat Dalam, Jakarta Selatan, Lokasi Strategis",3500000000,160,118,4,4,2
869,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",3000000000,160,90,4,3,1
870,Rumah Baru Hook Modern Minimalis Strategis Siap Huni Di Tebet Timur,3300000000,180,110,4,4,2
871,"Rumah Di Tebet Timur Dalam, Jakarta Selatan, Siap Huni, Semi Furnished",4400000000,250,130,4,3,2
872,Rumah Asri Di Tebet Timur Tebet Jakarta Selatan,4250000000,200,150,5,3,4
873,"Rumah Siap Huni Tebet Raya, Lingkungan Tenang nyaman, & Strategis",11000000000,275,305,5,3,1
874,Dijual rumah di tebet timur 2 lantai,3000000000,120,90,4,4,1
875,Dijual rumah di tebet barat,2500000000,140,88,4,3,0
876,Rumah Siap Huni Jalanan 3 Mobil Di Tebet,8800000000,150,205,5,2,2
877,TERJUAL Tebet Rumah Siap Huni Jalan Dua Mobil 300 Meter dari Mt Haryono,5500000000,300,248,5,4,3
878,"3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",2200000000,160,100,3,2,1
879,"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",6000000000,250,170,5,5,3
880,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",7000000000,300,240,4,3,4
881,"Rumah Bagus 2 Lantai, Bebas Banjir, Tenang Di Tebet, Jakarta Selatan",10500000000,500,345,6,4,2
882,Dijual Rumah Luas di Tebet Jakarta Selatan,3500000000,335,140,5,4,0
883,"Rumah Mewah 2 Lt Design Apik di Tebet Barat, Jakarta Selatan",6000000000,350,210,5,5,1
884,Rumah Tebet Barat,3800000000,150,130,3,2,1
885,"Rumah Murah Minimalis Di Tebet Timur, Tebet Jakarta Selatan",5500000000,250,140,5,3,1
886,"Dijual rumah murah dan cepat aja di Kebon Baru, Tebet",2500000000,200,122,4,2,1
887,"Rumah second bangunan kokoh dan terawat dalam komplek Gudang Peluru , Tebet , Jakarta Selatan",7500000000,480,290,5,3,2
888,Rumah Mewah di Menteng Dalam - Tebet,6800000000,375,130,4,5,4
889,Rumah Mewah di Tebet,12500000000,480,312,4,3,2
890,"Jl. Tebet Raya, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810, Indonesia",9500000000,300,368,5,4,2
891,Dijual rumah Tebet Jakarta Selatan,6000000000,150,200,5,4,2
892,Dijual Segera Rumah Tebet Timur Jakarta Selatan,3500000000,240,130,5,6,2
893,Dijual rumah di Tebet,9000000000,350,305,4,4,3
894,Dijual rumah siap huni di Tebet,8000000000,350,178,8,6,2
895,Dijual rumah di tebet timur raya,20000000000,440,660,9,5,5
896,"Rumah Brand New Posisi Depan Tama Di Tebet Barat, 3 Lantai",9700000000,450,248,5,6,1
897,Rumah Tebet Timur Dalam - RSH,3600000000,100,130,3,3,0
898,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",4200000000,180,120,4,3,2
899,Rumah tebet barat dalam,9000000000,350,240,6,4,3
900,Rumah Minimalis di Tebet,950000000,130,92,4,2,0
901,"Dijual Rumah Di Tebet Barat, Tebet, Jakarta Selatan",16450000000,700,550,6,6,0
902,"Dijual Rumah Di Tebet Lokasi Bagus, Tebet, Jakarta Selatan",7500000000,320,360,7,4,0
903,"Rumah Di Tebet,Lt270/375m,2 Lantai,Dkt Gatot Subroto",8700000000,375,265,5,4,4
904,Rumah Siap Huni Di Tebet Akses Mudah Dekat Ke Supomo Pancoran,3500000000,230,150,5,4,2
905,Dekat Jalan Soepomo Dan Mall Kota Kasablanka. Fasilitas Terdekat Baik.,25000000000,400,932,7,5,9
906,Rumah Second di Kebon Baru Tebet Jakarta Selatan,13000000000,800,370,6,5,4
907,Town House di Tebet Jakarta Selatan,3750000000,120,150,2,2,2
908,Good House Tebet,10000000000,450,750,8,6,1
909,Rumah Bagus di Daerah Tebet,1600000000,80,80,4,3,1
910,Tebet Rumah Mewah Minimalis 2 Lantai,4500000000,320,146,5,5,3
911,"Rumah Di Tebet Dalam Akses 2 Mobil Besar, Jakarta Selatan",13500000000,235,256,3,2,2
912,"3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",2000000000,100,90,3,2,1
913,"Tebet Rumah Bagus Minimalis Modern, jakarta Selatan",9000000000,211,234,7,5,4
914,Rumah mewah baru minimalia di Tebet utara,5800000000,280,170,5,4,2
915,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",3200000000,160,135,4,3,1
916,"Rumah Kebon Baru, Tebet, Jakarta Selatan, Hoek, Lokasi Strategis",2400000000,154,147,3,2,1
917,Rumah Tebet Siap Huni Jalan 2 Mobil,6750000000,350,210,4,4,2
918,"Tebet Rumah Classic, Jakarta Selatan",2400000000,75,101,2,1,2
919,Dijual Rumah Tebet Barat Lokasi Strategis Nyaman Jalan 1 Mobil,3100000000,150,95,3,3,2
920,Rumah siap huni di Tebet,11000000000,399,384,4,4,0
921,"Dijual Rumah Bangunan 2 Lantai di Tebet, Jakarta Selatan",28000000000,500,703,8,4,6
922,Rumah seken di Asem baris dekat St. cawang,650000000,50,55,2,1,0
923,Komplek telkom kebon baru,5750000000,350,240,7,5,0
924,Dijual Rumah Di Tebet Jakarta Selatan 3 Kmr 150m2 Nyaman Harga Best,2800000000,150,90,3,3,1
925,Rumah Baru Tebet,3200000000,170,90,4,4,0
926,Rumah mewah tebet,23000000000,750,610,8,6,0
927,Rumah TEBET,1600000000,80,80,4,3,0
928,Rumah Lama Tebet Timur Dalam,2400000000,100,130,4,2,1
929,Rumah Mewah 3 Lantai di Tebet Jakarta Selatan,6000000000,450,260,7,4,0
930,"Rumah Minimalis Clasik Tebet Barat, Jakarta Selatan",4500000000,251,106,4,3,2
931,"Dijual Rumah di Kebon Baru, Tebet, dekat stasiun Ka cawang",3000000000,200,200,4,3,0
932,"Rumah, Bukit Duri Tebet Jakarta, Jalan 2mobil, 162m, Dekat Kokas, BU",2100000000,162,162,3,3,2
933,"Tebet Rumah siap huni, jalan lebar, lokasi ok",5800000000,180,141,4,3,2
934,"Tebet Rumah hitung tanah, jalan lebar",9300000000,385,386,6,4,4
935,Rumah Tebet Dijual Cepat Dengan Lokasi Strategis,2000000000,130,100,3,2,1
936,"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",35000000000,400,600,5,3,4
937,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",4000000000,200,140,4,3,2
938,"8 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",6500000000,250,180,8,4,1
939,"3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",2850000000,160,135,3,2,2
940,Dijual Rumah Minimalis 3 Lantai ada Kolam Renang di Tebet,6800000000,300,200,5,5,4
941,Rumah Brand New Di Tebet Dekat Ke Jalan 3 Mobil Lt 112meter,3500000000,150,112,3,4,1
942,Rumah Siap Huni @ Tebet,3500000000,160,110,4,4,2
943,Rumah Mewah Bukit Duri,10500000000,800,457,7,5,2
944,Rumah Mewah Harga Murah Siap Huni Akses Strategis Di Tebet Pancoran,12500000009,480,312,6,4,4
945,Rumah Asem Baris Tebet,5500000000,265,250,4,3,2
946,"Dijual rumah di komplek gudang peluru Tebet, Jakarta Selatan",5700000000,250,162,4,4,2
947,"Dijual Rumah di Tebet Barat, Jakarta Selatan ~ Lokasi Bagus Jalan Dua Mobil",26000000000,550,485,4,3,2
948,Rumah 2 lantai di Tebet Dalam,3000000000,90,160,5,4,1
949,"Rumah Tebet Lokasi Strategis, Luas Pusat Bisnis. Dekat Kuningan",9500000000,385,380,5,4,2
950,Rumah Minimalis Di Tebet,3750000000,160,110,3,3,2
951,Dijual cepat dan murah rumah startegis di Tebet Jakarta Selatan,3600000000,150,340,6,4,0
952,Rumah Di Tebet Nyaman Aman Strategis Jalanan Besar 2 Mobil Bebas Banjir,6500000000,170,89,3,3,1
953,Rumah Mewah 2 Lantai Di Asem Baris,7500000000,300,325,5,4,2
954,Rumah Mungil Di Tebet Siap Huni,2500000000,120,60,3,4,1
955,Rumah mininalis tebet,3900000000,200,130,5,4,1
956,Rumah Lux Tebet,16000000000,450,310,5,5,1
957,Rumah tebet,18000000000,300,538,5,5,0
958,Rumah tebet raya,18500000000,330,360,7,7,0
959,Rumah Baru Di Tebet Timur Lokasi Strategis,3999999999,200,130,4,3,2
960,Rumah Cantik Di Tebet Dekat Supomo Pancoran Kuningan Gatot Subroto,5800000000,170,141,4,3,1
961,"TEBET - Kondisi Bagus, Dekat Jalan 2 Mobil",3900000000,170,100,5,3,2
962,"TEBET - Siap Huni, Terawat, Tengah Kota, Strategis",3100000000,180,103,3,3,2
963,TEBET - Bagus Untuk Investasi dan Harga Sangat Menarik,3000000000,150,139,3,3,1
964,"TEBET - Jalan 2 Mobil Lebar, Strategis",14000000000,440,393,6,6,6
965,TEBET - Siap Huni Lokasi Bagus,13500000000,352,394,6,4,2
966,"TEBET - Rumah Bagus, Siap Huni",4000000000,200,135,4,3,2
967,TEBET - Rumah Baru,3500000000,120,90,3,2,2
968,"TEBET - Siap Huni, Kondisi Sangat Terawat",4300000000,300,180,5,4,2
969,"TEBET - Area Tenang, Aman dan Nyaman",3900000000,180,154,4,3,2
970,Tebet - Dijual Rumah Mewah Klasik,19000000512,800,361,5,5,5
971,"Tebet rumah minimalis modern, jakarta selatan",2750000000,210,91,5,4,1
972,"Dijual Rumah sangat strategis di Tebet Barat, dekat sekolah, stasiun, Tebet Mas",2900000000,175,134,5,2,1
973,Rumah Tingkat 2 Lantai Di Komplek Gudang Peluru Tebet Jakarta Selatan,9500000000,500,345,8,5,4
974,Dijual Rumah Cantik Di Tebet Akses Jalan Lebar,23000000000,700,987,4,4,4
975,"Di Jual Rumah Mewah Sangat Strategis Di Tebet Akses Jalan 2mobil Lebar, Rumah Menghadap Selatan",21000000000,700,547,4,4,7
976,Di jual rumah 2nd di tebet barat,2600000000,150,90,3,2,0
977,Di jual rumah di jl persada raya,4000000000,200,220,7,3,1
978,Rumah strategis tebet barat,22900000000,700,650,3,3,2
979,"Rumah Baru Semi Furnished Depan TAMAN dekat Gelael, Tebet Barat, Jakarta Selatan",4000000000,180,105,5,4,1
980,"Rumah Tebet Barat Dalam - Jakarta Selatan, Tebet, Jakarta Selatan",3200000000,137,86,4,2,1
981,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",2600000000,160,93,4,4,1
982,Di Jual Rumah Cantik di Tebet Jalan 1 Mobil Jakarta Selatan,6300000000,250,180,4,3,1
983,Rumah Brand New Minimalis Modern Bebas Banjir di Tebet,3400000000,160,110,3,3,1
984,"4 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",3250000000,200,90,4,3,1
985,Dijual Rumah Cantik Minimalis Di Tebet Dekat Taman,3000000000,150,95,4,4,1
986,Rumah Murah Siap Huni Akses 2 Mobil Tebet Timur Jak Sel,4100000000,180,155,4,3,1
987,Rumah Strategis Cocok Untuk Usaha Posisi Huk Di Tebet Timur,6500000000,130,160,4,1,2
988,Rumah Murah Akses Mobil Di Tebet Barat Jak Sel,1800000000,90,100,2,1,0
989,Rumah Strategis Siap Huni Akses 1mobil Di Tebet Barat,3500000000,150,135,4,3,1
990,Rumah Siap Huni Hanya 50meter Ke Jalan Asembaris Raya,2100000000,100,126,2,2,1
991,Rumah 2lantai Strategis Akses 2mobil Lokasi Asembaris Tebet,3000000000,200,125,2,2,1
992,Rumah Asri Siap Huni Strategis Lokasi Asembaris Bebas Banjir,2150000000,128,135,3,2,1
993,"Rumah Baru 2,5 Lantai Akses 1mobil Lokasi Tebet Timur",3000000000,200,90,3,2,2
994,Rumah Bagus Siap Huni Tebet Barat Jak Sel,3250000000,120,104,4,3,1
995,Rumah Sederhana Di Tebet Timur Jak Sel,1750000000,85,90,2,1,1
996,Rumah Murah Sekali Siap Huni Akses Gg 2 Motor Di Lap Roos Tebet,1500000000,200,170,7,2,0
997,Rumah Siap Huni Ada Kosan 4pintu Lokasi Tebet Barat Jak Sel,3800000000,200,145,8,8,1
998,Rumah Strategis Siap Huni Akses 1mobil Dekat Pasar Tebet Jak Sel,2500000000,120,100,3,2,1
999,Rumah Lama Layak Huni Akses 2 Mbl Bs Utk Kosan Di Menteng Dlm Jak Sel,4200000000,250,206,5,4,1
1000,Rumah Siap Huni Akses 2mobil Strategis Di Asembaris Tebet,1100000000,70,70,2,1,0
1001,Rumah Siap Huni 2lantai Akses 1mobil Di Asembaris Tebet,950000000,100,60,3,1,0
1002,Rumah Baru Siap Huni Akses 2mobil Semi Furnised Lokasi Tebet Utara,4500000000,128,90,3,3,1
1003,Rumah Siap Huni Posisi Huk Akses 2mobil 200meter Kejalan Supomo,7000000000,150,110,4,3,1
1004,Rumah 2lantai Akses 2mobil Di Bukit Duri Tebet Jaksel,600000000,60,30,2,2,0
1005,Rumah Strategis 100meter Ke Jl Supomo Di Menteng Dalam Tebet Jak Sel,2600000000,100,140,3,2,1
1006,Rumah Strategis Akses Jalan 2mobil Di Menteng Dalam Tebet Jak Sel,9000000000,450,550,10,10,3
1007,Tebet Rumah Siap Huni Jln 2 Mbl Nyaman,4000000000,160,140,4,3,2
1008,"Di Kebun Baru Rumah Terawat, Area Strategis",4000000000,139,230,4,4,1
1009,Dijual Cepat Rumah Komp Depkeu Dr Soepomo Tebet Jakarta Selatan,19000000000,360,606,7,4,0
1010,Dijual Rumah Kokoh Di Gudang Peluru,10500000000,420,430,7,4,2
